date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:07	1428157/1428157	---M--	200	added ('OK')	image/jpeg	etag:8HrVSZyTJNfdcYEpXpETuo69AJZHZbXLBT3Mh53fYd0=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2FAbout_us_page%2Fservice_hero.jpeg&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/service_herob596.jpeg	(from https://www.uscholars.in/about-us)
10:25:07	94656/94656	---M--	200	added ('OK')	image/png	etag:fULzJhnjt8+NQ8lrPnLyFaawgGaIJ9YnJQpqGWP4M7o=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fscholarship_page%2Fbanner_image%2Fbanner.png&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/banner8897.png	(from https://www.uscholars.in/uk-student-scholarships)
10:25:07	157538/157538	---M--	200	added ('OK')	image/png	etag:fA5S43A1xVfmTCJQmVv6IozNVMUhn7-0WNWqcBjn0Pc=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fscholarship_page%2Foffeer_image%2FScholarship_banner.png&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Scholarship_banner441b.png	(from https://www.uscholars.in/uk-student-scholarships)
10:25:07	20378/20378	---M--	200	added ('OK')	image/png	etag:qLkgJRAchQDROIX8On15tndI6aSUKFLK2j6UQO9iqIs=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fscholarship_page%2Fsteps_image_desktop%2FGroup_12482_1.png&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Group_12482_159ce.png	(from https://www.uscholars.in/uk-student-scholarships)
10:25:08	13321/13321	---M--	200	added ('OK')	image/png	etag:bwzodjOi4nBA-fNWi7WFqdOpdjOlS0meT8AYRBuOCrw=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fscholarship_page%2Fsteps_image_mobile%2Fsteps-mobile.png&w=750&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/steps-mobile32e6.png	(from https://www.uscholars.in/uk-student-scholarships)
10:25:08	5431/5431	---MCZ	200	added ('OK')	text/css	etag:W/%221537-18930847b40%22	https://www.uscholars.in/_next/static/css/49ba72e9fb7db5af.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/49ba72e9fb7db5af.css	(from https://www.uscholars.in/how-it-works)
10:25:09	2910/2910	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b5e-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/how-it-works-2028c2ac02b0b106.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/how-it-works-2028c2ac02b0b106.js	(from https://www.uscholars.in/how-it-works)
10:25:09	56216/56216	---M--	200	added ('OK')	image/jpeg	etag:xj3-sORTx7QsIFdql8GXk+5CC+bGjR-mguSioiAtN-I=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fhow_it_works%2Fbanner_image%2Fbandeau_nousconnaitre-1-1540x414.jpg&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/bandeau_nousconnaitre-1-1540x41482f9.jpeg	(from https://www.uscholars.in/how-it-works)
10:25:10	12264/12264	---M--	200	added ('OK')	image/png	etag:O1tfDs-1nmPfhmcVrBoEnzIXIjp6bi1+iWaWgGlE09o=	https://www.uscholars.in/_next/image?url=%2Fimages%2Fhow-it-works-image.png&w=1920&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/how-it-works-image8f42.png	(from https://www.uscholars.in/how-it-works)
10:25:10	3283/3283	---MCZ	200	added ('OK')	text/css	etag:W/%22cd3-18930847b40%22	https://www.uscholars.in/_next/static/css/2dbbed464ebef60c.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/2dbbed464ebef60c.css	(from https://www.uscholars.in/why-study-abroad)
